ID,Name as found,Locations,Occurrences,Visual description,Styling source,Hardcoded values,States implemented,States missing,Behaviour,Accessibility,Near-duplicates,Verdict
EL-001,Primary button (sky-400 / text-black),"ProjectsSurface:106/123, ConversationsHomePage:96, AppShell:1224, TaskChainsPage, settings/* (~12), ActionEditor:320",50+,Solid electric-blue pill with black bold label,Utility classes,"bg-sky-400, text-black, rounded-xl/2xl, px-3..5, py-1.5..3, font-semibold/bold/black",hover disabled,focus-visible active loading,Click; label swaps to Loading… sometimes,Native button; NO focus ring,EL-002 EL-003 EL-004 EL-005,merge
EL-002,Primary button (sky-500 / text-black),"ActionsPanel:209, ProjectLaunchModal:966, MemoryPanel:86/183",8,Same as EL-001 but sky-500 + text-xs + font-semibold,Utility classes,"bg-sky-500, text-xs, font-semibold",hover disabled,focus-visible,Click,Native button; no focus ring,EL-001,merge
EL-003,Primary button (sky-600 / text-white),"TaskChainOverview:1404/1208/1910, ProjectFilesPanel:528/774, InstanceRunDirPanel:994",16+,Darker blue pill with WHITE text,Utility classes,"bg-sky-600, text-white, rounded/rounded-lg, text-[11px]/xs",hover disabled,focus-visible,Click,Native button; different hue+text-color from EL-001,EL-001,merge
EL-004,Primary button (white / text-black),"ChainEditor:599/686/722, LibraryPage:285",4,White pill with black text,Utility classes,"bg-white, rounded-full, text-xs, font-semibold, hover:bg-zinc-200",hover disabled,focus-visible,Click,Native button,EL-001 EL-005,merge
EL-005,Primary button (framer / --fd-accent-blue),"OnboardingWizard:180/216/254",3,Full-width blue button using CSS-var token,framer/CSS-var,"bg-[var(--fd-accent-blue)], rounded-[var(--fd-radius-lg)], py-3.5",hover disabled,focus-visible,Click,Native button; only token-based primary,EL-001 EL-004,merge
EL-006,Secondary button (border ghost),"ProjectsSurface:124/268, Projects:311, Bridges:184, Templates:158, ChainEditor:519",many,Transparent pill with hairline border and muted text,Utility classes,"border-white/10, rounded-xl, px-3..4, py-1.5..2, text-zinc-300, hover:bg-white/10",hover,focus-visible disabled,Click,Native button; no focus ring,EL-007,merge
EL-007,Secondary button (white/10 fill),"Providers:251, Agents:116, ArtifactViewer:582(~15), ArtifactUpload:243",25+,Faint white-fill pill,Utility classes,"bg-white/10, hover:bg-white/15, disabled:bg-white/5 OR opacity-40",hover disabled,focus-visible,Click,Native; disabled styling inconsistent,EL-006,merge
EL-008,Ghost pill (default de-facto button),"CurrentTaskStrip:121/173, WorkTab:50, ChatMessageList:150, RuntimeChip:74",20+,Rounded-full hairline pill muted text,Utility classes,"rounded-full, border-white/10, px-2.5, py-1, text-[11px], text-zinc-300",hover disabled,focus-visible,Click,Native button; ~5 px/text variants,EL-006,merge
EL-009,Intent-tinted pill (approve/reject/nudge/review),"CurrentTaskStrip:180-189, ConversationMemoryTab:100, ChatWorkBanner:38, WorkChips",15+,Tinted pill: emerald/rose/amber/sky per action,Utility classes,"border-{tone}-400/30, bg-{tone}-400/10, text-{tone}-100/200",hover,focus-visible disabled,Click,Native; color encodes intent inline,EL-010 EL-011 EL-012,merge
EL-010,Danger button (red solid),"MemoryManagementPage:571, DeleteActionModal:65, ArtifactViewer:1080(rose)",4,Solid red/rose pill,Utility classes,"bg-red-400/red-600/rose-400, text-black/white",hover disabled,focus-visible,Click,Native,EL-009 EL-011,merge
EL-011,Danger button (tint ghost),"MemoryPanel:460/567(rose), MemoryPage:280, UserTokens:130, ArtifactViewer:616",many,Red/rose tinted ghost pill,Utility classes,"border-red-400/30 OR rose-400/20, bg-red-500/10, text-red-100/200",hover disabled,focus-visible,Click,Native; red vs rose split; 400/500 mixed,EL-009 EL-010,merge
EL-012,Success button (emerald),"MemoryPanel:471, UserTokens:98, OnboardingWizard:462, ChainEditor:729",8+,Solid/tint emerald action,Utility classes,"bg-emerald-300/400/500, text-black/white; or border-emerald-400/30 bg/10",hover disabled,focus-visible,Click,Native; emerald shade varies 300/400/500,EL-009,merge
EL-013,Warning button (amber),"Agents:118, ArtifactViewer:1002, ChainEditor:728, TaskChainOverview:1534(bg-amber-600)",5,Amber tinted / solid action,Utility classes,"border-amber-400/30 bg-amber-400/10 OR bg-amber-600, text-amber-100/white",hover disabled,focus-visible,Click,Native,EL-009,merge
EL-014,Icon-only button (square ghost),"ThreadPage:1232/1299, InstanceRunDirPanel:1001, ActionsPanel:543, MemoryPage:212, responsive:257",30+,Square icon button h-5/7/8/9 rounded,Utility classes,"grid h-7/8/9 w-*, rounded-md/lg/xl, text-zinc-400, hover:bg-white/10",hover disabled,focus-visible,Click,Native; SOME have aria-label+title (chat good; ActionsPanel/pencil MISSING aria-label),EL-015,merge
